company;Contacté;Notes;website_url;activity_sector;attributed_sale;status
iscod;Non;;https://www.iscod.fr/;Formation/Education;Alexandra;Prospect
partners consulting;Non;;https://www.partnersconsulting-of.com/page-de-maintenance/;Other;;
armée de l'air et de l'espace;Non;;https://www.defense.gouv.fr/air;Other;Alexandra;Contacté
galeries lafayette;Oui;;https://www.galerieslafayette.com/;Other;Barbara;Pas intéressant
aureïs formation;Oui;;https://www.aureisformation.fr/;Formation/Education;Rachel;Contacté
chanel;Non;;https://www.chanel.com/fr/;Other;;Client
grant thornton france;Non;;https://www.grantthornton.fr/fr/;Other;;
groupe kering;Non;;https://www.kering.com/fr/groupe/;Other;;Prospect
institut f2i;Non;;https://www.institut-f2i.fr/;Formation/Education;Barbara;
groupe igf;Non;;https://www.groupeigf.com/;Formation/Education;;
louis vuitton;Non;;https://fr.louisvuitton.com/fra-fr/homepage;Other;Esther;Client
armée de terre française;Non;;https://www.defense.gouv.fr/terre;Other;;Contacté
société générale;Non;;https://particuliers.sg.fr/;Other;;
ifcv;Non;;https://www.ifcv.fr/;Formation/Education;;
exchange college;Non;;https://www.exchange-college.com/;Formation/Education;;
printemps;Non;;https://www.printemps.com/fr/fr;Other;;
porsche france s.a.s.;Non;;https://www.porsche.com/france/;Other;;
1001 vies habitat;Non;;https://www.1001vieshabitat.fr/;Other;;
nestenn immobilier;Non;;https://nestenn.com/;Other;;Prospect
capgemini;Non;;https://www.capgemini.com/fr-fr/;Other;;
era agence de la mairie;Non;;https://www.erafrance.com/agence-immobiliere-palaiseau-117;Other;;
era l'immobilière du centre;Non;;https://www.erafrance.com/agence-immobiliere-verrieres-le-buisson-351;Other;;
era la clef saint pierre;Non;;https://www.erafrance.com/agence-immobiliere-elancourt-285;Other;;
era agence de l'eglise;Non;;https://www.erafrance.com/agence-immobiliere-rosny-sous-bois-39;Other;;
hermes sellier;Non;;https://www.hermes.com/fr/fr/;Formation/Education;;
era agence bilan immobilier;Non;;https://www.erafrance.com/agence-immobiliere-viroflay-84;Other;;
era les gatines;Non;;https://www.erafrance.com/agence-immobiliere-plaisir-62;Other;;
era nsd immobilier;Non;;https://www.erafrance.com/agence-immobiliere-vitry-sur-seine-355;Other;;
era immoteam (s);Non;;https://www.erafrance.com/agence-immobiliere-champs-sur-marne-66;Other;;
era immobilier lsi;Non;;https://www.erafrance.com/agence-immobiliere-fresnes-110;Other;;
ramsay generale de sante;Non;;https://www.ramsaysante.fr/;Other;;
digital school of paris;Non;;https://www.digitalschool.paris/;Formation/Education;;
gan assurances;Non;;https://www.gan.fr/;Other;;
la sécu recrute;Non;;https://www.lasecurecrute.fr/accueil;Recruitment;;
sephora;Non;;https://www.sephora.fr/;Other;;
maisons du monde;Non;;https://www.maisonsdumonde.com/;Other;;
era immoteam;Non;;https://www.erafrance.com/agence-immobiliere-noisy-le-grand-91;Other;;
hsbc;Non;;https://www.hsbc.fr/;Other;;
alain bousoussan avocats;Non;;https://www.alain-bensoussan.com/;Other;;
hermes international;Non;;https://fr.wikipedia.org/wiki/Herm%C3%A8s_International;Other;;
dalkia;Non;;https://www.dalkia.fr/;Other;;
sandro siège;Non;;https://fr.sandro-paris.com/fr/le-siege/LeSiege.html;Other;;
groupe atlantic;Non;;https://www.groupe-atlantic.fr/;Recruitment;;
la française;Non;;https://www.la-francaise.com/fr/;Other;;
de corgnol & agnes;Non;;https://www.decorgnoletagnes.fr/;Recruitment;;
siplec;Non;;https://www.siplec.leclerc/;Other;;
charlestown;Non;;https://charlestown.fr/;Other;;
ortec engineering;Non;;https://ortec-group.com/expertises/engineering/;Other;;
cea - commissariat à l'energie atomique;Non;;https://www.cea.fr/;Other;;
cea;Non;;https://www.cea.fr/;Other;;
dassault systemes;Non;;https://www.3ds.com/fr/;Other;;
era flandre crimee;Non;;https://www.erafrance.com/agence-immobiliere-paris-19-181;Other;;
economat des armees;Non;;https://www.economat-armees.com/;Other;;
mairie de drancy;Non;;https://www.drancy.fr/-1.html;Other;;
innocent france;Non;;https://www.innocent.fr/bienvenue;Other;;
era mlbd immobilier;Non;;https://www.erafrance.com/agence-immobiliere-montigny-le-bretonneux-204;Other;;
era acces immobilier;Non;;https://www.erafrance.com/agence-immobiliere-beynes-271;Other;;
fiducial;Non;;https://www.fiducial.fr/;Other;;
3f;Non;;https://www.groupe3f.fr/;Other;;
era la vallee immobiliere;Non;;https://www.erafrance.com/agence-immobiliere-villiers-sur-marne-215;Other;;
era amp immo;Non;;https://www.erafrance.com/agence-immobiliere-meaux-108;Other;;
balsan;Non;;https://www.balsan.com/;Other;;
vinci energies;Non;;https://www.vinci-energies.com/;Other;;
totalenergies;Non;;https://www.totalenergies.fr/;Other;;
agence france prestige;Non;;https://franceprestige.net/;Other;;
